Post Date,Description,Amount,Balance
2026-02-26,CHECK #1199 COASTAL HARDWOOD SUPPLY,-2877.52,39622.48
2026-02-26,CHECK #1353 COASTAL HARDWOOD SUPPLY,-2877.52,36744.96
02/01/2026,CHECK #1146 PIEDMONT FINISHES & STAIN,-1073.49,35671.47
02/01/2026,CHECK #1338 PIEDMONT FINISHES & STAIN,-1073.49,34597.98
2026-02-04,CHECK #1262 APEX FREIGHT & SHIPPING,-1501.05,33096.93
2026-02-07,ACH DEBIT KERNERSVILLE UTILITIES PPD ID:5299055,-563.19,32533.74
02/11/2026,CHECK #1105 TRIAD EQUIPMENT SERVICE,-1106.82,31426.92
01/30/2026,CHECK #1179 SUMMIT BUSINESS INSURANCE,-410.0,31016.92
01-Mar-26,DEBIT CARD PURCHASE COASTAL HARDWOOD SUPPLY #506,-2807.81,28209.11
2026-03-18,DEBIT CARD PURCHASE BLUE RIDGE HARDWARE CO. #706,-1121.72,27087.39
2026-03-04,DEBIT CARD PURCHASE PIEDMONT FINISHES & STAIN #204,-1433.32,25654.07
2026-03-14,DEBIT CARD PURCHASE GUILFORD PACKAGING SOLUTIONS #915,-878.31,24775.76
2026-03-25,ACH DEBIT APEX FREIGHT & SHIPPING PPD ID:6825112,-255.03,24520.73
03/09/2026,DEBIT CARD PURCHASE TRIAD EQUIPMENT SERVICE #170,-1957.44,22563.29
2026-03-19,ACH DEBIT SUMMIT BUSINESS INSURANCE PPD ID:6724909,-410.0,22153.29
2026-03-29,ACH DEBIT COASTAL HARDWOOD SUPPLY PPD ID:2770648,-4388.56,17764.73
2026-03-29,CHECK #1345 COASTAL HARDWOOD SUPPLY,-4388.56,13376.17
04/06/2026,DEBIT CARD PURCHASE GUILFORD PACKAGING SOLUTIONS #851,-358.86,13017.31
23-Mar-26,DEBIT CARD PURCHASE APEX FREIGHT & SHIPPING #730,-1271.42,11745.89
2026-03-18,DEBIT CARD PURCHASE TRIAD EQUIPMENT SERVICE #546,-697.31,11048.58
04/22/2026,CHECK #1323 SUMMIT BUSINESS INSURANCE,-410.0,10638.58
06/03/2026,CHECK #1064 COASTAL HARDWOOD SUPPLY,-3917.98,6720.6
05/14/2026,CHECK #1257 BLUE RIDGE HARDWARE CO.,-765.31,5955.29
03-May-26,ACH DEBIT APEX FREIGHT & SHIPPING PPD ID:6452832,-1296.58,4658.71
03-May-26,ACH DEBIT APEX FREIGHT & SHIPPING PPD ID:6952975,-1296.58,3362.13
2026-05-17,DEBIT CARD PURCHASE TRIAD EQUIPMENT SERVICE #710,-2069.41,1292.72
05/17/2026,CHECK #1161 SUMMIT BUSINESS INSURANCE,-410.0,882.72
29-May-26,ACH DEBIT COASTAL HARDWOOD SUPPLY PPD ID:5049282,-3425.92,-2543.2
06/02/2026,ACH DEBIT BLUE RIDGE HARDWARE CO. PPD ID:5031966,-1324.93,-3868.13
2026-06-10,CHECK #1350 PIEDMONT FINISHES & STAIN,-644.32,-4512.45
22-May-26,ACH DEBIT GUILFORD PACKAGING SOLUTIONS PPD ID:5936453,-728.34,-5240.79
2026-05-21,DEBIT CARD PURCHASE TRIAD EQUIPMENT SERVICE #413,-1869.19,-7109.98
2026-05-24,DEBIT CARD PURCHASE SUMMIT BUSINESS INSURANCE #584,-410.0,-7519.98
12-Jul-26,DEBIT CARD PURCHASE BLUE RIDGE HARDWARE CO. #535,-593.49,-8113.47
29-Jul-26,DEBIT CARD PURCHASE GUILFORD PACKAGING SOLUTIONS #460,-659.64,-8773.11
11-Jul-26,ACH DEBIT KERNERSVILLE UTILITIES PPD ID:5545223,-613.87,-9386.98
01/02/26,DEPOSIT - SQUARE PAYMENTS,10208.84,226.79
01/05/26,MONTHLY SERVICE FEE,-35.0,191.79
02/02/26,DEPOSIT - SQUARE PAYMENTS,9340.79,14847.93
02/04/26,MONTHLY SERVICE FEE,-35.0,14812.93
03/05/26,DEPOSIT - SQUARE PAYMENTS,14836.25,24748.43
03/05/26,MONTHLY SERVICE FEE,-35.0,24713.43
04/01/26,DEPOSIT - SQUARE PAYMENTS,13828.4,36890.96
04/03/26,MONTHLY SERVICE FEE,-35.0,36855.96
05/02/26,DEPOSIT - SQUARE PAYMENTS,10115.87,46448.34
05/05/26,MONTHLY SERVICE FEE,-35.0,46413.34
06/01/26,DEPOSIT - SQUARE PAYMENTS,14820.06,55299.42
06/05/26,MONTHLY SERVICE FEE,-35.0,55264.42
