Date,Account,Vendor,Memo,Amount,Type
2026-01-24,Cost of Goods Sold:Materials,COASTAL HARDWOOD,  Coastal Hardwood Supply - Bill INV-1001  ,2877.52,Bill
2026-01-24,Cost of Goods Sold:Materials,Coastal Hardwood Supply Inc,  Coastal Hardwood Supply - Bill INV-1001  ,2877.52,Bill
01/20/2026,Cost of Goods Sold:Materials,Piedmont Finishes & Stain,  Piedmont Finishes & Stain - Bill INV-1002  ,1073.49,Bill
01/20/2026,Cost of Goods Sold:Materials,Piedmont Finishes and Stain,  Piedmont Finishes & Stain - Bill INV-1002  ,1073.49,Bill
01/23/2026,Operating Expenses:Supplies,Guilford Packaging,  Guilford Packaging Solutions - Bill INV-1003  ,405.19,Bill
2026-01-12,Cost of Goods Sold:Freight,Apex Freight,  Apex Freight & Shipping - Bill INV-1004  ,1501.05,Bill
2026-01-12,Operating Expenses:Utilities,Kernersville Utility Dept,  Kernersville Utilities - Bill INV-1005  ,563.19,Bill
01/13/2026,Operating Expenses:Equipment Maintenance,Triad Equipment Service,  Triad Equipment Service - Bill INV-1006  ,1106.82,Bill
01/03/2026,Operating Expenses:Insurance,Summit Business Insurance,  Summit Business Insurance - Bill INV-1007  ,410.0,Bill
11-Feb-26,,coastal hardwood supply,  Coastal Hardwood Supply - Bill INV-1008  ,2807.81,Bill
23-Feb-26,Cost of Goods Sold:Materials,Coastal Hardwood Supply,  Coastal Hardwood Supply - Bill INV-1009  ,2735.56,Bill
2026-02-18,Cost of Goods Sold:Materials,Blue Ridge Hardware,  Blue Ridge Hardware Co. - Bill INV-1010  ,1121.72,Bill
2026-02-25,Cost of Goods Sold:Materials,Piedmont Finishes,  Piedmont Finishes & Stain - Bill INV-1011  ,1433.32,Bill
2026-02-15,Operating Expenses:Supplies,Guilford Packaging Solutions,  Guilford Packaging Solutions - Bill INV-1012  ,878.31,Bill
2026-02-06,Cost of Goods Sold:Freight,Apex Freight,  Apex Freight & Shipping - Bill INV-1013  ,255.03,Bill
2026-02-20,Operating Expenses:Utilities,Kernersville Utility Dept,  Kernersville Utilities - Bill INV-1014  ,419.74,Bill
02/04/2026,,Triad Equipment Service,  Triad Equipment Service - Bill INV-1015  ,1957.44,Bill
2026-02-25,Operating Expenses:Insurance,Summit Ins,  Summit Business Insurance - Bill INV-1016  ,410.0,Bill
07-Mar-26,Cost of Goods Sold:Materials,COASTAL HARDWOOD,  Coastal Hardwood Supply - Bill INV-1017  ,3555.57,Bill
2026-03-11,Cost of Goods Sold:Materials,COASTAL HARDWOOD,  Coastal Hardwood Supply - Bill INV-1018  ,4388.56,Bill
2026-03-11,Cost of Goods Sold:Materials,COASTAL HARDWOOD,  Coastal Hardwood Supply - Bill INV-1018  ,4388.56,Bill
03/17/2026,Operating Expenses:Supplies,Guilford Packaging Solutions,  Guilford Packaging Solutions - Bill INV-1019  ,358.86,Bill
04-Mar-26,Cost of Goods Sold:Freight,Apex Freight and Shipping,  Apex Freight & Shipping - Bill INV-1020  ,1271.42,Bill
2026-03-11,Operating Expenses:Equipment Maintenance,Triad Equipment Service,  Triad Equipment Service - Bill INV-1021  ,697.31,Bill
03/03/2026,Operating Expenses:Insurance,Summit Ins,  Summit Business Insurance - Bill INV-1022  ,410.0,Bill
04/14/2026,Cost of Goods Sold:Materials,Coastal Hardwood Supply,  Coastal Hardwood Supply - Bill INV-1023  ,3917.98,Bill
04/15/2026,Cost of Goods Sold:Materials,Blue Ridge Hrdwr,  Blue Ridge Hardware Co. - Bill INV-1024  ,765.31,Bill
2026-04-24,Cost of Goods Sold:Materials,Piedmont Finishes & Stain,  Piedmont Finishes & Stain - Bill INV-1025  ,468.6,Bill
20-Apr-26,Cost of Goods Sold:Freight,Apex Freight and Shipping,  Apex Freight & Shipping - Bill INV-1026  ,1296.58,Bill
20-Apr-26,,Apex Freight and Shipping,  Apex Freight & Shipping - Bill INV-1026  ,1296.58,Bill
2026-04-19,Operating Expenses:Equipment Maintenance,TRIAD EQUIPMENT,  Triad Equipment Service - Bill INV-1027  ,2069.41,Bill
04/15/2026,Operating Expenses:Insurance,SUMMIT BUSINESS INS,  Summit Business Insurance - Bill INV-1028  ,410.0,Bill
03-May-26,Cost of Goods Sold:Materials,Coastal Hardwood Supply Inc,  Coastal Hardwood Supply - Bill INV-1029  ,3425.92,Bill
05/01/2026,Cost of Goods Sold:Materials,Blue Ridge Hrdwr,  Blue Ridge Hardware Co. - Bill INV-1030  ,1324.93,Bill
