Invoice#,Vendor,Invoice Date,Due Date,Amount,Paid,Payment Date
INV-1001,coastal hardwood supply,2026-01-24,2026-02-23,2877.52,Y,2026-02-26
INV-1001,coastal hardwood supply,2026-01-24,2026-02-23,2877.52,Y,2026-02-26
INV-1002,Piedmont Finishes and Stain,01/20/2026,02/04/2026,1073.49,Y,02/01/2026
INV-1002,Piedmont Finishes and Stain,01/20/2026,02/04/2026,1073.49,Y,02/01/2026
INV-1003,Guilford Packaging Solutions,01/23/2026,03/09/2026,405.19,N,
INV-1004,Apex Freight and Shipping,2026-01-12,2026-02-11,1501.05,Y,2026-02-04
INV-1005,Kernersville Utilities,2026-01-12,2026-02-11,563.19,Y,2026-02-07
INV-1006,Triad Equip Svc,01/13/2026,02/12/2026,1106.82,Y,02/11/2026
INV-1007,Summit Business Insurance,01/03/2026,02/02/2026,410.0,Y,01/30/2026
INV-1008,Coastal Hardwood Supply,11-Feb-26,26-Feb-26,2807.81,Y,01-Mar-26
INV-1009,COASTAL HARDWOOD,23-Feb-26,25-Mar-26,2735.56,,
INV-1010,Blue Ridge Hrdwr,2026-02-18,2026-03-20,1121.72,Y,2026-03-18
INV-1011,Piedmont Finishes,2026-02-25,2026-03-12,1433.32,Y,2026-03-04
INV-1012,Guilford Packaging Solutions,2026-02-15,2026-03-17,878.31,Y,2026-03-14
INV-1013,APEX FRT/SHIPPING,2026-02-06,2026-03-23,255.03,Y,2026-03-25
INV-1014,Kernersville Utilities,2026-02-20,2026-03-22,419.74,,
INV-1015,Triad Equip Svc,02/04/2026,03/06/2026,1957.44,Y,03/09/2026
INV-1016,Summit Ins,2026-02-25,2026-03-27,410.0,Y,2026-03-19
INV-1017,Coastal Hardwood Supply Inc,07-Mar-26,06-Apr-26,3555.57,N,
INV-1018,coastal hardwood supply,2026-03-11,2026-03-26,4388.56,Y,2026-03-29
INV-1018,coastal hardwood supply,2026-03-11,2026-03-26,4388.56,Y,2026-03-29
INV-1019,Guilford Packaging,03/17/2026,04/16/2026,358.86,Y,04/06/2026
INV-1020,APEX FRT/SHIPPING,04-Mar-26,19-Mar-26,1271.42,Y,23-Mar-26
INV-1021,Triad Equipment Service,2026-03-11,2026-03-26,697.31,Y,2026-03-18
INV-1022,SUMMIT BUSINESS INS,03/03/2026,04/17/2026,410.0,Y,04/22/2026
INV-1023,COASTAL HARDWOOD,04/14/2026,05/29/2026,3917.98,Y,06/03/2026
INV-1024,Blue Ridge Hrdwr,04/15/2026,05/15/2026,765.31,Y,05/14/2026
INV-1025,Piedmont Finishes and Stain,2026-04-24,2026-05-24,468.6,,
INV-1026,Apex Freight,20-Apr-26,05-May-26,1296.58,Y,03-May-26
INV-1026,Apex Freight,20-Apr-26,05-May-26,1296.58,Y,03-May-26
INV-1027,Triad Equipment Service,2026-04-19,2026-05-19,2069.41,Y,2026-05-17
INV-1028,Summit Business Insurance,04/15/2026,05/15/2026,410.0,Y,05/17/2026
INV-1029,coastal hardwood supply,03-May-26,02-Jun-26,3425.92,Y,29-May-26
INV-1030,Blue Ridge Hardware Co.,05/01/2026,05/31/2026,1324.93,Y,06/02/2026
INV-1031,PIEDMONT FINISH/STAIN,2026-05-07,2026-06-06,644.32,Y,2026-06-10
INV-1032,GUILFORD PKG SOLUTIONS,01-May-26,31-May-26,728.34,Y,22-May-26
,TRIAD EQUIPMENT,2026-05-05,2026-05-20,1869.19,Y,2026-05-21
INV-1034,Summit Business Insurance,2026-05-02,2026-06-01,410.0,Y,2026-05-24
INV-1035,Coastal Hardwood Supply,06/06/2026,07/06/2026,5678.23,,
INV-1036,Blue Ridge Hardware Co.,22-Jun-26,22-Jul-26,593.49,Y,12-Jul-26
INV-1037,Piedmont Finishes,10-Jun-26,10-Jul-26,667.51,N,
INV-1038,GUILFORD PKG SOLUTIONS,12-Jun-26,27-Jul-26,659.64,Y,29-Jul-26
INV-1039,Apex Freight and Shipping,09-Jun-26,24-Jun-26,418.02,,
,Kernersville Utilities,04-Jun-26,19-Jul-26,613.87,Y,11-Jul-26
INV-1041,Triad Equipment Service,2026-06-24,2026-07-24,928.44,N,
INV-1042,Summit Ins,10-Jun-26,10-Jul-26,410.0,,
